sol [*,*] (tr)
:      obiettivo   D    C    N_min:=
1004   0.0434783   5   20    4
1005   0.0434783   5   20    5
1006   0.0434783   5   20    6
1007   0.0434783   5   20    7
1008   0.0434783   5   20    8
1009   0.0434783   5   20    9
1010   0.0434783   5   20   10
1011   0.0434783   5   20   11
1012   0.0434783   5   20   12
1013   0.0434783   5   20   13
1014   0.0434783   5   20   14
1015   0.0434783   5   20   15
1016   0.0434783   5   20   16
1017   0.0434783   5   20   17
1018   0.0434783   5   20   18
1019   0.0434783   5   20   19
1020   0.0434783   5   20   20
1021   0.521739    6    1    4
1022   0.521739    6    1    5
1023   0.521739    6    1    6
1024   0.521739    6    1    7
1025   0.521739    6    1    8
1026   0.521739    6    1    9
1027   0.521739    6    1   10
1028   0.521739    6    1   11
1029   0.521739    6    1   12
1030   0.521739    6    1   13
1031   0.521739    6    1   14
1032   0.521739    6    1   15
1033   0.521739    6    1   16
1034   0.521739    6    1   17
1035   0.521739    6    1   18
1036   0.521739    6    1   19
1037   0.521739    6    1   20
1038   0.304348    6    2    4
1039   0.304348    6    2    5
1040   0.304348    6    2    6
1041   0.304348    6    2    7
1042   0.304348    6    2    8
1043   0.304348    6    2    9
1044   0.304348    6    2   10
1045   0.304348    6    2   11
1046   0.304348    6    2   12
1047   0.304348    6    2   13
1048   0.304348    6    2   14
1049   0.304348    6    2   15
1050   0.304348    6    2   16
1051   0.304348    6    2   17
1052   0.304348    6    2   18
1053   0.304348    6    2   19
1054   0.304348    6    2   20
1055   0.173913    6    3    4
1056   0.173913    6    3    5
1057   0.173913    6    3    6
1058   0.173913    6    3    7
1059   0.173913    6    3    8
1060   0.173913    6    3    9
1061   0.173913    6    3   10
1062   0.173913    6    3   11
1063   0.173913    6    3   12
1064   0.173913    6    3   13
1065   0.173913    6    3   14
1066   0.173913    6    3   15
1067   0.173913    6    3   16
1068   0.173913    6    3   17
1069   0.173913    6    3   18
1070   0.173913    6    3   19
1071   0.217391    6    3   20
1072   0.130435    6    4    4
1073   0.130435    6    4    5
1074   0.130435    6    4    6
1075   0.130435    6    4    7
1076   0.130435    6    4    8
1077   0.130435    6    4    9
1078   0.130435    6    4   10
1079   0.130435    6    4   11
1080   0.130435    6    4   12
1081   0.130435    6    4   13
1082   0.130435    6    4   14
1083   0.130435    6    4   15
1084   0.130435    6    4   16
1085   0.130435    6    4   17
1086   0.130435    6    4   18
1087   0.130435    6    4   19
1088   0.130435    6    4   20
1089   0.0869565   6    5    4
1090   0.0869565   6    5    5
1091   0.0869565   6    5    6
1092   0.0869565   6    5    7
1093   0.0869565   6    5    8
1094   0.0869565   6    5    9
1095   0.0869565   6    5   10
1096   0.0869565   6    5   11
1097   0.0869565   6    5   12
1098   0.0869565   6    5   13
1099   0.0869565   6    5   14
1100   0.0869565   6    5   15
1101   0.0869565   6    5   16
1102   0.0869565   6    5   17
1103   0.0869565   6    5   18
1104   0.0869565   6    5   19
1105   0.0869565   6    5   20
1106   0.0434783   6    6    4
1107   0.0434783   6    6    5
1108   0.0434783   6    6    6
1109   0.0434783   6    6    7
1110   0.0434783   6    6    8
1111   0.0434783   6    6    9
1112   0.0434783   6    6   10
1113   0.0434783   6    6   11
1114   0.0434783   6    6   12
1115   0.0434783   6    6   13
1116   0.0434783   6    6   14
1117   0.0434783   6    6   15
1118   0.0434783   6    6   16
1119   0.0434783   6    6   17
1120   0.0434783   6    6   18
1121   0.0434783   6    6   19
1122   0.0434783   6    6   20
1123   0.0434783   6    7    4
1124   0.0434783   6    7    5
1125   0.0434783   6    7    6
1126   0.0434783   6    7    7
1127   0.0434783   6    7    8
1128   0.0434783   6    7    9
1129   0.0434783   6    7   10
1130   0.0434783   6    7   11
1131   0.0434783   6    7   12
1132   0.0434783   6    7   13
1133   0.0434783   6    7   14
1134   0.0434783   6    7   15
1135   0.0434783   6    7   16
1136   0.0434783   6    7   17
1137   0.0434783   6    7   18
1138   0.0434783   6    7   19
1139   0.0434783   6    7   20
1140   0.0434783   6    8    4
1141   0.0434783   6    8    5
1142   0.0434783   6    8    6
1143   0.0434783   6    8    7
1144   0.0434783   6    8    8
1145   0.0434783   6    8    9
1146   0.0434783   6    8   10
1147   0.0434783   6    8   11
1148   0.0434783   6    8   12
1149   0.0434783   6    8   13
1150   0.0434783   6    8   14
1151   0.0434783   6    8   15
1152   0.0434783   6    8   16
1153   0.0434783   6    8   17
1154   0.0434783   6    8   18
1155   0.0434783   6    8   19
1156   0.0434783   6    8   20
1157   0.0434783   6    9    4
1158   0.0434783   6    9    5
1159   0.0434783   6    9    6
1160   0.0434783   6    9    7
1161   0.0434783   6    9    8
1162   0.0434783   6    9    9
1163   0.0434783   6    9   10
1164   0.0434783   6    9   11
1165   0.0434783   6    9   12
1166   0.0434783   6    9   13
1167   0.0434783   6    9   14
1168   0.0434783   6    9   15
1169   0.0434783   6    9   16
1170   0.0434783   6    9   17
1171   0.0434783   6    9   18
1172   0.0434783   6    9   19
1173   0.0434783   6    9   20
1174   0.0434783   6   10    4
1175   0.0434783   6   10    5
1176   0.0434783   6   10    6
1177   0.0434783   6   10    7
1178   0.0434783   6   10    8
1179   0.0434783   6   10    9
1180   0.0434783   6   10   10
1181   0.0434783   6   10   11
1182   0.0434783   6   10   12
1183   0.0434783   6   10   13
1184   0.0434783   6   10   14
1185   0.0434783   6   10   15
1186   0.0434783   6   10   16
1187   0.0434783   6   10   17
1188   0.0434783   6   10   18
1189   0.0434783   6   10   19
1190   0.0434783   6   10   20
1191   0.0434783   6   11    4
1192   0.0434783   6   11    5
1193   0.0434783   6   11    6
1194   0.0434783   6   11    7
1195   0.0434783   6   11    8
1196   0.0434783   6   11    9
1197   0.0434783   6   11   10
1198   0.0434783   6   11   11
1199   0.0434783   6   11   12
1200   0.0434783   6   11   13
1201   0.0434783   6   11   14
1202   0.0434783   6   11   15
1203   0.0434783   6   11   16
1204   0.0434782   6   11   17
1205   0.0434783   6   11   18
1206   0.0434783   6   11   19
1207   0.0434783   6   11   20
1208   0.0434783   6   12    4
1209   0.0434783   6   12    5
1210   0.0434783   6   12    6
1211   0.0434783   6   12    7
1212   0.0434783   6   12    8
1213   0.0434783   6   12    9
1214   0.0434783   6   12   10
1215   0.0434783   6   12   11
1216   0.0434783   6   12   12
1217   0.0434783   6   12   13
1218   0.0434783   6   12   14
1219   0.0434783   6   12   15
1220   0.0434783   6   12   16
1221   0.0434783   6   12   17
1222   0.0434783   6   12   18
1223   0.0434783   6   12   19
1224   0.0434783   6   12   20
1225   0.0434783   6   13    4
1226   0.0434783   6   13    5
1227   0.0434783   6   13    6
1228   0.0434783   6   13    7
1229   0.0434783   6   13    8
1230   0.0434783   6   13    9
1231   0.0434783   6   13   10
1232   0.0434783   6   13   11
1233   0.0434783   6   13   12
1234   0.0434783   6   13   13
1235   0.0434783   6   13   14
1236   0.0434783   6   13   15
1237   0.0434783   6   13   16
1238   0.0434783   6   13   17
1239   0.0434783   6   13   18
1240   0.0434783   6   13   19
1241   0.0434783   6   13   20
1242   0.0434783   6   14    4
1243   0.0434783   6   14    5
1244   0.0434783   6   14    6
1245   0.0434783   6   14    7
1246   0.0434783   6   14    8
1247   0.0434783   6   14    9
1248   0.0434783   6   14   10
1249   0.0434783   6   14   11
1250   0.0434783   6   14   12
1251   0.0434783   6   14   13
1252   0.0434783   6   14   14
1253   0.0434783   6   14   15
1254   0.0434783   6   14   16
1255   0.0434783   6   14   17
1256   0.0434783   6   14   18
1257   0.0434783   6   14   19
1258   0.0434783   6   14   20
1259   0.0434783   6   15    4
1260   0.0434783   6   15    5
1261   0.0434783   6   15    6
1262   0.0434783   6   15    7
1263   0.0434783   6   15    8
1264   0.0434783   6   15    9
1265   0.0434783   6   15   10
1266   0.0434783   6   15   11
1267   0.0434783   6   15   12
1268   0.0434783   6   15   13
1269   0.0434783   6   15   14
1270   0.0434783   6   15   15
1271   0.0434783   6   15   16
1272   0.0434783   6   15   17
1273   0.0434783   6   15   18
1274   0.0434783   6   15   19
1275   0.0434783   6   15   20
1276   0.0434783   6   16    4
1277   0.0434783   6   16    5
1278   0.0434783   6   16    6
1279   0.0434783   6   16    7
1280   0.0434783   6   16    8
1281   0.0434783   6   16    9
1282   0.0434783   6   16   10
1283   0.0434783   6   16   11
1284   0.0434783   6   16   12
1285   0.0434783   6   16   13
1286   0.0434783   6   16   14
1287   0.0434783   6   16   15
1288   0.0434783   6   16   16
1289   0.0434783   6   16   17
1290   0.0434783   6   16   18
1291   0.0434783   6   16   19
1292   0.0434783   6   16   20
1293   0.0434783   6   17    4
1294   0.0434783   6   17    5
1295   0.0434783   6   17    6
1296   0.0434783   6   17    7
1297   0.0434783   6   17    8
1298   0.0434783   6   17    9
1299   0.0434783   6   17   10
1300   0.0434783   6   17   11
1301   0.0434783   6   17   12
1302   0.0434783   6   17   13
1303   0.0434783   6   17   14
1304   0.0434783   6   17   15
1305   0.0434783   6   17   16
1306   0.0434783   6   17   17
1307   0.0434783   6   17   18
1308   0.0434783   6   17   19
1309   0.0434783   6   17   20
1310   0.0434783   6   18    4
1311   0.0434783   6   18    5
1312   0.0434783   6   18    6
1313   0.0434783   6   18    7
1314   0.0434783   6   18    8
1315   0.0434783   6   18    9
1316   0.0434783   6   18   10
1317   0.0434783   6   18   11
1318   0.0434783   6   18   12
1319   0.0434783   6   18   13
1320   0.0434783   6   18   14
1321   0.0434783   6   18   15
1322   0.0434783   6   18   16
1323   0.0434783   6   18   17
1324   0.0434783   6   18   18
1325   0.0434783   6   18   19
1326   0.0434783   6   18   20
1327   0.0434783   6   19    4
1328   0.0434783   6   19    5
1329   0.0434783   6   19    6
1330   0.0434783   6   19    7
1331   0.0434783   6   19    8
1332   0.0434783   6   19    9
1333   0.0434783   6   19   10
1334   0.0434783   6   19   11
1335   0.0434783   6   19   12
1336   0.0434783   6   19   13
1337   0.0434783   6   19   14
1338   0.0434783   6   19   15
1339   0.0434783   6   19   16
1340   0.0434783   6   19   17
1341   0.0434783   6   19   18
1342   0.0434783   6   19   19
1343   0.0434783   6   19   20
1344   0.0434783   6   20    4
1345   0.0434783   6   20    5
1346   0.0434783   6   20    6
1347   0.0434783   6   20    7
1348   0.0434783   6   20    8
1349   0.0434783   6   20    9
1350   0.0434783   6   20   10
1351   0.0434783   6   20   11
1352   0.0434783   6   20   12
1353   0.0434783   6   20   13
1354   0.0434783   6   20   14
1355   0.0434783   6   20   15
1356   0.0434783   6   20   16
1357   0.0434783   6   20   17
1358   0.0434783   6   20   18
1359   0.0434783   6   20   19
1360   0.0434783   6   20   20
1361   0.521739    7    1    4
1362   0.521739    7    1    5
1363   0.521739    7    1    6
1364   0.521739    7    1    7
1365   0.521739    7    1    8
1366   0.521739    7    1    9
1367   0.521739    7    1   10
1368   0.521739    7    1   11
1369   0.521739    7    1   12
1370   0.521739    7    1   13
1371   0.521739    7    1   14
1372   0.521739    7    1   15
1373   0.521739    7    1   16
1374   0.521739    7    1   17
1375   0.521739    7    1   18
1376   0.521739    7    1   19
1377   0.521739    7    1   20
1378   0.304348    7    2    4
1379   0.304348    7    2    5
1380   0.304348    7    2    6
1381   0.304348    7    2    7
1382   0.304348    7    2    8
1383   0.304348    7    2    9
1384   0.304348    7    2   10
1385   0.304348    7    2   11
1386   0.304348    7    2   12
1387   0.304348    7    2   13
1388   0.304348    7    2   14
1389   0.304348    7    2   15
1390   0.304348    7    2   16
1391   0.304348    7    2   17
1392   0.304348    7    2   18
1393   0.304348    7    2   19
1394   0.304348    7    2   20
1395   0.173913    7    3    4
1396   0.173913    7    3    5
1397   0.173913    7    3    6
1398   0.173913    7    3    7
1399   0.173913    7    3    8
1400   0.173913    7    3    9
1401   0.173913    7    3   10
1402   0.173913    7    3   11
1403   0.173913    7    3   12
1404   0.173913    7    3   13
1405   0.173913    7    3   14
1406   0.173913    7    3   15
1407   0.173913    7    3   16
1408   0.173913    7    3   17
1409   0.173913    7    3   18
1410   0.173913    7    3   19
1411   0.217391    7    3   20
1412   0.130435    7    4    4
1413   0.130435    7    4    5
1414   0.130435    7    4    6
1415   0.130435    7    4    7
1416   0.130435    7    4    8
1417   0.130435    7    4    9
1418   0.130435    7    4   10
1419   0.130435    7    4   11
1420   0.130435    7    4   12
1421   0.130435    7    4   13
1422   0.130435    7    4   14
1423   0.130435    7    4   15
1424   0.130435    7    4   16
1425   0.130435    7    4   17
1426   0.130435    7    4   18
1427   0.130435    7    4   19
1428   0.130435    7    4   20
1429   0.0869565   7    5    4
1430   0.0869565   7    5    5
1431   0.0869565   7    5    6
1432   0.0869565   7    5    7
1433   0.0869565   7    5    8
1434   0.0869565   7    5    9
1435   0.0869565   7    5   10
1436   0.0869565   7    5   11
1437   0.0869565   7    5   12
1438   0.0869565   7    5   13
1439   0.0869565   7    5   14
1440   0.0869565   7    5   15
1441   0.0869565   7    5   16
1442   0.0869565   7    5   17
1443   0.0869565   7    5   18
1444   0.0869565   7    5   19
1445   0.0869565   7    5   20
1446   0.0434783   7    6    4
1447   0.0434783   7    6    5
1448   0.0434783   7    6    6
1449   0.0434783   7    6    7
1450   0.0434783   7    6    8
1451   0.0434783   7    6    9
1452   0.0434783   7    6   10
1453   0.0434783   7    6   11
1454   0.0434783   7    6   12
1455   0.0434783   7    6   13
1456   0.0434783   7    6   14
1457   0.0434783   7    6   15
1458   0.0434783   7    6   16
1459   0.0434783   7    6   17
1460   0.0434783   7    6   18
1461   0.0434783   7    6   19
1462   0.0434783   7    6   20
1463   0.0434783   7    7    4
1464   0.0434783   7    7    5
1465   0.0434783   7    7    6
1466   0.0434783   7    7    7
1467   0.0434783   7    7    8
1468   0.0434783   7    7    9
1469   0.0434783   7    7   10
1470   0.0434783   7    7   11
1471   0.0434783   7    7   12
1472   0.0434783   7    7   13
1473   0.0434783   7    7   14
1474   0.0434783   7    7   15
1475   0.0434783   7    7   16
1476   0.0434783   7    7   17
1477   0.0434783   7    7   18
1478   0.0434783   7    7   19
1479   0.0434783   7    7   20
1480   0.0434783   7    8    4
1481   0.0434783   7    8    5
1482   0.0434783   7    8    6
1483   0.0434783   7    8    7
1484   0.0434783   7    8    8
1485   0.0434783   7    8    9
1486   0.0434783   7    8   10
1487   0.0434783   7    8   11
1488   0.0434783   7    8   12
1489   0.0434783   7    8   13
1490   0.0434783   7    8   14
1491   0.0434783   7    8   15
1492   0.0434783   7    8   16
1493   0.0434783   7    8   17
1494   0.0434783   7    8   18
1495   0.0434783   7    8   19
1496   0.0434783   7    8   20
1497   0.0434783   7    9    4
1498   0.0434783   7    9    5
1499   0.0434783   7    9    6
1500   0.0434783   7    9    7
1501   0.0434783   7    9    8
1502   0.0434783   7    9    9
1503   0.0434783   7    9   10
1504   0.0434783   7    9   11
1505   0.0434783   7    9   12
1506   0.0434783   7    9   13
1507   0.0434783   7    9   14
1508   0.0434783   7    9   15
1509   0.0434783   7    9   16
1510   0.0434783   7    9   17
1511   0.0434783   7    9   18
1512   0.0434783   7    9   19
1513   0.0434783   7    9   20
1514   0.0434783   7   10    4
1515   0.0434783   7   10    5
1516   0.0434783   7   10    6
1517   0.0434783   7   10    7
1518   0.0434783   7   10    8
1519   0.0434783   7   10    9
1520   0.0434783   7   10   10
1521   0.0434783   7   10   11
1522   0.0434783   7   10   12
1523   0.0434783   7   10   13
1524   0.0434783   7   10   14
1525   0.0434783   7   10   15
1526   0.0434783   7   10   16
1527   0.0434783   7   10   17
1528   0.0434783   7   10   18
1529   0.0434783   7   10   19
1530   0.0434783   7   10   20
1531   0.0434783   7   11    4
1532   0.0434783   7   11    5
1533   0.0434783   7   11    6
1534   0.0434783   7   11    7
1535   0.0434783   7   11    8
1536   0.0434783   7   11    9
1537   0.0434783   7   11   10
1538   0.0434783   7   11   11
1539   0.0434783   7   11   12
1540   0.0434783   7   11   13
1541   0.0434783   7   11   14
1542   0.0434783   7   11   15
1543   0.0434783   7   11   16
1544   0.0434782   7   11   17
1545   0.0434783   7   11   18
1546   0.0434783   7   11   19
1547   0.0434783   7   11   20
1548   0.0434783   7   12    4
1549   0.0434783   7   12    5
1550   0.0434783   7   12    6
1551   0.0434783   7   12    7
1552   0.0434783   7   12    8
1553   0.0434783   7   12    9
1554   0.0434783   7   12   10
1555   0.0434783   7   12   11
1556   0.0434783   7   12   12
1557   0.0434783   7   12   13
1558   0.0434783   7   12   14
1559   0.0434783   7   12   15
1560   0.0434783   7   12   16
1561   0.0434783   7   12   17
1562   0.0434783   7   12   18
1563   0.0434783   7   12   19
1564   0.0434783   7   12   20
1565   0.0434783   7   13    4
1566   0.0434783   7   13    5
1567   0.0434783   7   13    6
1568   0.0434783   7   13    7
1569   0.0434783   7   13    8
1570   0.0434783   7   13    9
1571   0.0434783   7   13   10
1572   0.0434783   7   13   11
1573   0.0434783   7   13   12
1574   0.0434783   7   13   13
1575   0.0434783   7   13   14
1576   0.0434783   7   13   15
1577   0.0434783   7   13   16
1578   0.0434783   7   13   17
1579   0.0434783   7   13   18
1580   0.0434783   7   13   19
1581   0.0434783   7   13   20
1582   0.0434783   7   14    4
1583   0.0434783   7   14    5
1584   0.0434783   7   14    6
1585   0.0434783   7   14    7
1586   0.0434783   7   14    8
1587   0.0434783   7   14    9
1588   0.0434783   7   14   10
1589   0.0434783   7   14   11
1590   0.0434783   7   14   12
1591   0.0434783   7   14   13
1592   0.0434783   7   14   14
1593   0.0434783   7   14   15
1594   0.0434783   7   14   16
1595   0.0434783   7   14   17
1596   0.0434783   7   14   18
1597   0.0434783   7   14   19
1598   0.0434783   7   14   20
1599   0.0434783   7   15    4
1600   0.0434783   7   15    5
1601   0.0434783   7   15    6
1602   0.0434783   7   15    7
1603   0.0434783   7   15    8
1604   0.0434783   7   15    9
1605   0.0434783   7   15   10
1606   0.0434783   7   15   11
1607   0.0434783   7   15   12
1608   0.0434783   7   15   13
1609   0.0434783   7   15   14
1610   0.0434783   7   15   15
1611   0.0434783   7   15   16
1612   0.0434783   7   15   17
1613   0.0434783   7   15   18
1614   0.0434783   7   15   19
1615   0.0434783   7   15   20
1616   0.0434783   7   16    4
1617   0.0434783   7   16    5
1618   0.0434783   7   16    6
1619   0.0434783   7   16    7
1620   0.0434783   7   16    8
1621   0.0434783   7   16    9
1622   0.0434783   7   16   10
1623   0.0434783   7   16   11
1624   0.0434783   7   16   12
1625   0.0434783   7   16   13
1626   0.0434783   7   16   14
1627   0.0434783   7   16   15
1628   0.0434783   7   16   16
1629   0.0434783   7   16   17
1630   0.0434783   7   16   18
1631   0.0434783   7   16   19
1632   0.0434783   7   16   20
1633   0.0434783   7   17    4
1634   0.0434783   7   17    5
1635   0.0434783   7   17    6
1636   0.0434783   7   17    7
1637   0.0434783   7   17    8
1638   0.0434783   7   17    9
1639   0.0434783   7   17   10
1640   0.0434783   7   17   11
1641   0.0434783   7   17   12
1642   0.0434783   7   17   13
1643   0.0434783   7   17   14
1644   0.0434783   7   17   15
1645   0.0434783   7   17   16
1646   0.0434783   7   17   17
1647   0.0434783   7   17   18
1648   0.0434783   7   17   19
1649   0.0434783   7   17   20
1650   0.0434783   7   18    4
1651   0.0434783   7   18    5
1652   0.0434783   7   18    6
1653   0.0434783   7   18    7
1654   0.0434783   7   18    8
1655   0.0434783   7   18    9
1656   0.0434783   7   18   10
1657   0.0434783   7   18   11
1658   0.0434783   7   18   12
1659   0.0434783   7   18   13
1660   0.0434783   7   18   14
1661   0.0434783   7   18   15
1662   0.0434783   7   18   16
1663   0.0434783   7   18   17
1664   0.0434783   7   18   18
1665   0.0434783   7   18   19
1666   0.0434783   7   18   20
1667   0.0434783   7   19    4
1668   0.0434783   7   19    5
1669   0.0434783   7   19    6
1670   0.0434783   7   19    7
1671   0.0434783   7   19    8
1672   0.0434783   7   19    9
1673   0.0434783   7   19   10
1674   0.0434783   7   19   11
1675   0.0434783   7   19   12
1676   0.0434783   7   19   13
1677   0.0434783   7   19   14
1678   0.0434783   7   19   15
1679   0.0434783   7   19   16
1680   0.0434783   7   19   17
1681   0.0434783   7   19   18
1682   0.0434783   7   19   19
1683   0.0434783   7   19   20
1684   0.0434783   7   20    4
1685   0.0434783   7   20    5
1686   0.0434783   7   20    6
1687   0.0434783   7   20    7
1688   0.0434783   7   20    8
1689   0.0434783   7   20    9
1690   0.0434783   7   20   10
1691   0.0434783   7   20   11
1692   0.0434783   7   20   12
1693   0.0434783   7   20   13
1694   0.0434783   7   20   14
1695   0.0434783   7   20   15
1696   0.0434783   7   20   16
1697   0.0434783   7   20   17
1698   0.0434783   7   20   18
1699   0.0434783   7   20   19
1700   0.0434783   7   20   20
