sol [*,*] (tr)
:      obiettivo   D    C    N_min:=
232    0.0434783   3   14   14
233    0.0434783   3   14   15
234    0.0434783   3   14   16
235    0.0434783   3   14   17
236    0.0434783   3   14   18
237    0.0434783   3   14   19
238    0.0434783   3   14   20
239    0.0434783   3   15    4
240    0.0434783   3   15    5
241    0.0434783   3   15    6
242    0.0434783   3   15    7
243    0.0434783   3   15    8
244    0.0434783   3   15    9
245    0.0434783   3   15   10
246    0.0434783   3   15   11
247    0.0434783   3   15   12
248    0.0434783   3   15   13
249    0.0434783   3   15   14
250    0.0434783   3   15   15
251    0.0434783   3   15   16
252    0.0434783   3   15   17
253    0.0434783   3   15   18
254    0.0434783   3   15   19
255    0.0434783   3   15   20
256    0.0434783   3   16    4
257    0.0434783   3   16    5
258    0.0434783   3   16    6
259    0.0434783   3   16    7
260    0.0434783   3   16    8
261    0.0434783   3   16    9
262    0.0434783   3   16   10
263    0.0434783   3   16   11
264    0.0434783   3   16   12
265    0.0434783   3   16   13
266    0.0434783   3   16   14
267    0.0434783   3   16   15
268    0.0434783   3   16   16
269    0.0434783   3   16   17
270    0.0434783   3   16   18
271    0.0434783   3   16   19
272    0.0434783   3   16   20
273    0.0434783   3   17    4
274    0.0434783   3   17    5
275    0.0434783   3   17    6
276    0.0434783   3   17    7
277    0.0434783   3   17    8
278    0.0434783   3   17    9
279    0.0434783   3   17   10
280    0.0434783   3   17   11
281    0.0434783   3   17   12
282    0.0434783   3   17   13
283    0.0434783   3   17   14
284    0.0434783   3   17   15
285    0.0434783   3   17   16
286    0.0434783   3   17   17
287    0.0434783   3   17   18
288    0.0434783   3   17   19
289    0.0434783   3   17   20
290    0.0434783   3   18    4
291    0.0434783   3   18    5
292    0.0434783   3   18    6
293    0.0434783   3   18    7
294    0.0434783   3   18    8
295    0.0434783   3   18    9
296    0.0434783   3   18   10
297    0.0434783   3   18   11
298    0.0434783   3   18   12
299    0.0434783   3   18   13
300    0.0434783   3   18   14
301    0.0434783   3   18   15
302    0.0434783   3   18   16
303    0.0434783   3   18   17
304    0.0434783   3   18   18
305    0.0434783   3   18   19
306    0.0434783   3   18   20
307    0.0434783   3   19    4
308    0.0434783   3   19    5
309    0.0434783   3   19    6
310    0.0434783   3   19    7
311    0.0434783   3   19    8
312    0.0434783   3   19    9
313    0.0434783   3   19   10
314    0.0434783   3   19   11
315    0.0434783   3   19   12
316    0.0434783   3   19   13
317    0.0434783   3   19   14
318    0.0434783   3   19   15
319    0.0434783   3   19   16
320    0.0434783   3   19   17
321    0.0434783   3   19   18
322    0.0434783   3   19   19
323    0.0434783   3   19   20
324    0.0434783   3   20    4
325    0.0434783   3   20    5
326    0.0434783   3   20    6
327    0.0434783   3   20    7
328    0.0434783   3   20    8
329    0.0434783   3   20    9
330    0.0434783   3   20   10
331    0.0434783   3   20   11
332    0.0434783   3   20   12
333    0.0434783   3   20   13
334    0.0434783   3   20   14
335    0.0434783   3   20   15
336    0.0434783   3   20   16
337    0.0434783   3   20   17
338    0.0434783   3   20   18
339    0.0434783   3   20   19
340    0.0434783   3   20   20
341    0.521739    4    1    4
342    0.521739    4    1    5
343    0.521739    4    1    6
344    0.521739    4    1    7
345    0.521739    4    1    8
346    0.521739    4    1    9
347    0.521739    4    1   10
348    0.521739    4    1   11
349    0.521739    4    1   12
350    0.521739    4    1   13
351    0.521739    4    1   14
352    0.521739    4    1   15
353    0.521739    4    1   16
354    0.521739    4    1   17
355    0.521739    4    1   18
356    0.521739    4    1   19
357    0.521739    4    1   20
358    0.304348    4    2    4
359    0.304348    4    2    5
360    0.304348    4    2    6
361    0.304348    4    2    7
362    0.304348    4    2    8
363    0.304348    4    2    9
364    0.304348    4    2   10
365    0.304348    4    2   11
366    0.304348    4    2   12
367    0.304348    4    2   13
368    0.304348    4    2   14
369    0.304348    4    2   15
370    0.304348    4    2   16
371    0.304348    4    2   17
372    0.304348    4    2   18
373    0.304348    4    2   19
374    0.304348    4    2   20
375    0.173913    4    3    4
376    0.173913    4    3    5
377    0.173913    4    3    6
378    0.173913    4    3    7
379    0.173913    4    3    8
380    0.173913    4    3    9
381    0.173913    4    3   10
382    0.173913    4    3   11
383    0.173913    4    3   12
384    0.173913    4    3   13
385    0.173913    4    3   14
386    0.173913    4    3   15
387    0.173913    4    3   16
388    0.173913    4    3   17
389    0.173913    4    3   18
390    0.173913    4    3   19
391    0.217391    4    3   20
392    0.130435    4    4    4
393    0.130435    4    4    5
394    0.130435    4    4    6
395    0.130435    4    4    7
396    0.130435    4    4    8
397    0.130435    4    4    9
398    0.130435    4    4   10
399    0.130435    4    4   11
400    0.130435    4    4   12
401    0.130435    4    4   13
402    0.130435    4    4   14
403    0.130435    4    4   15
404    0.130435    4    4   16
405    0.130435    4    4   17
406    0.130435    4    4   18
407    0.130435    4    4   19
408    0.130435    4    4   20
409    0.0869565   4    5    4
410    0.0869565   4    5    5
411    0.0869565   4    5    6
412    0.0869565   4    5    7
413    0.0869565   4    5    8
414    0.0869565   4    5    9
415    0.0869565   4    5   10
416    0.0869565   4    5   11
417    0.0869565   4    5   12
418    0.0869565   4    5   13
419    0.0869565   4    5   14
420    0.0869565   4    5   15
421    0.0869565   4    5   16
422    0.0869565   4    5   17
423    0.0869565   4    5   18
424    0.0869565   4    5   19
425    0.0869565   4    5   20
426    0.0434783   4    6    4
427    0.0434783   4    6    5
428    0.0434783   4    6    6
429    0.0434783   4    6    7
430    0.0434783   4    6    8
431    0.0434783   4    6    9
432    0.0434783   4    6   10
433    0.0434783   4    6   11
434    0.0434783   4    6   12
435    0.0434783   4    6   13
436    0.0434783   4    6   14
437    0.0434783   4    6   15
438    0.0434783   4    6   16
439    0.0434783   4    6   17
440    0.0434783   4    6   18
441    0.0434783   4    6   19
442    0.0434783   4    6   20
443    0.0434783   4    7    4
444    0.0434783   4    7    5
445    0.0434783   4    7    6
446    0.0434783   4    7    7
447    0.0434783   4    7    8
448    0.0434783   4    7    9
449    0.0434783   4    7   10
450    0.0434783   4    7   11
451    0.0434783   4    7   12
452    0.0434783   4    7   13
453    0.0434783   4    7   14
454    0.0434783   4    7   15
455    0.0434783   4    7   16
456    0.0434783   4    7   17
457    0.0434783   4    7   18
458    0.0434783   4    7   19
459    0.0434783   4    7   20
460    0.0434783   4    8    4
461    0.0434783   4    8    5
462    0.0434783   4    8    6
463    0.0434783   4    8    7
464    0.0434783   4    8    8
465    0.0434783   4    8    9
466    0.0434783   4    8   10
467    0.0434783   4    8   11
468    0.0434783   4    8   12
469    0.0434783   4    8   13
470    0.0434783   4    8   14
471    0.0434783   4    8   15
472    0.0434783   4    8   16
473    0.0434783   4    8   17
474    0.0434783   4    8   18
475    0.0434783   4    8   19
476    0.0434783   4    8   20
477    0.0434783   4    9    4
478    0.0434783   4    9    5
479    0.0434783   4    9    6
480    0.0434783   4    9    7
481    0.0434783   4    9    8
482    0.0434783   4    9    9
483    0.0434783   4    9   10
484    0.0434783   4    9   11
485    0.0434783   4    9   12
486    0.0434783   4    9   13
487    0.0434783   4    9   14
488    0.0434783   4    9   15
489    0.0434783   4    9   16
490    0.0434783   4    9   17
491    0.0434783   4    9   18
492    0.0434783   4    9   19
493    0.0434783   4    9   20
494    0.0434783   4   10    4
495    0.0434783   4   10    5
496    0.0434783   4   10    6
497    0.0434783   4   10    7
498    0.0434783   4   10    8
499    0.0434783   4   10    9
500    0.0434783   4   10   10
501    0.0434783   4   10   11
502    0.0434783   4   10   12
503    0.0434783   4   10   13
504    0.0434783   4   10   14
505    0.0434783   4   10   15
506    0.0434783   4   10   16
507    0.0434783   4   10   17
508    0.0434783   4   10   18
509    0.0434783   4   10   19
510    0.0434783   4   10   20
511    0.0434783   4   11    4
512    0.0434783   4   11    5
513    0.0434783   4   11    6
514    0.0434783   4   11    7
515    0.0434783   4   11    8
516    0.0434783   4   11    9
517    0.0434783   4   11   10
518    0.0434783   4   11   11
519    0.0434783   4   11   12
520    0.0434783   4   11   13
521    0.0434783   4   11   14
522    0.0434783   4   11   15
523    0.0434783   4   11   16
524    0.0434782   4   11   17
525    0.0434783   4   11   18
526    0.0434783   4   11   19
527    0.0434783   4   11   20
528    0.0434783   4   12    4
529    0.0434783   4   12    5
530    0.0434783   4   12    6
531    0.0434783   4   12    7
532    0.0434783   4   12    8
533    0.0434783   4   12    9
534    0.0434783   4   12   10
535    0.0434783   4   12   11
536    0.0434783   4   12   12
537    0.0434783   4   12   13
538    0.0434783   4   12   14
539    0.0434783   4   12   15
540    0.0434783   4   12   16
541    0.0434783   4   12   17
542    0.0434783   4   12   18
543    0.0434783   4   12   19
544    0.0434783   4   12   20
545    0.0434783   4   13    4
546    0.0434783   4   13    5
547    0.0434783   4   13    6
548    0.0434783   4   13    7
549    0.0434783   4   13    8
550    0.0434783   4   13    9
551    0.0434783   4   13   10
552    0.0434783   4   13   11
553    0.0434783   4   13   12
554    0.0434783   4   13   13
555    0.0434783   4   13   14
556    0.0434783   4   13   15
557    0.0434783   4   13   16
558    0.0434783   4   13   17
559    0.0434783   4   13   18
560    0.0434783   4   13   19
561    0.0434783   4   13   20
562    0.0434783   4   14    4
563    0.0434783   4   14    5
564    0.0434783   4   14    6
565    0.0434783   4   14    7
566    0.0434783   4   14    8
567    0.0434783   4   14    9
568    0.0434783   4   14   10
569    0.0434783   4   14   11
570    0.0434783   4   14   12
571    0.0434783   4   14   13
572    0.0434783   4   14   14
573    0.0434783   4   14   15
574    0.0434783   4   14   16
575    0.0434783   4   14   17
576    0.0434783   4   14   18
577    0.0434783   4   14   19
578    0.0434783   4   14   20
579    0.0434783   4   15    4
580    0.0434783   4   15    5
581    0.0434783   4   15    6
582    0.0434783   4   15    7
583    0.0434783   4   15    8
584    0.0434783   4   15    9
585    0.0434783   4   15   10
586    0.0434783   4   15   11
587    0.0434783   4   15   12
588    0.0434783   4   15   13
589    0.0434783   4   15   14
590    0.0434783   4   15   15
591    0.0434783   4   15   16
592    0.0434783   4   15   17
593    0.0434783   4   15   18
594    0.0434783   4   15   19
595    0.0434783   4   15   20
596    0.0434783   4   16    4
597    0.0434783   4   16    5
598    0.0434783   4   16    6
599    0.0434783   4   16    7
600    0.0434783   4   16    8
601    0.0434783   4   16    9
602    0.0434783   4   16   10
603    0.0434783   4   16   11
604    0.0434783   4   16   12
605    0.0434783   4   16   13
606    0.0434783   4   16   14
607    0.0434783   4   16   15
608    0.0434783   4   16   16
609    0.0434783   4   16   17
610    0.0434783   4   16   18
611    0.0434783   4   16   19
612    0.0434783   4   16   20
613    0.0434783   4   17    4
614    0.0434783   4   17    5
615    0.0434783   4   17    6
616    0.0434783   4   17    7
617    0.0434783   4   17    8
618    0.0434783   4   17    9
619    0.0434783   4   17   10
620    0.0434783   4   17   11
621    0.0434783   4   17   12
622    0.0434783   4   17   13
623    0.0434783   4   17   14
624    0.0434783   4   17   15
625    0.0434783   4   17   16
626    0.0434783   4   17   17
627    0.0434783   4   17   18
628    0.0434783   4   17   19
629    0.0434783   4   17   20
630    0.0434783   4   18    4
631    0.0434783   4   18    5
632    0.0434783   4   18    6
633    0.0434783   4   18    7
634    0.0434783   4   18    8
635    0.0434783   4   18    9
636    0.0434783   4   18   10
637    0.0434783   4   18   11
638    0.0434783   4   18   12
639    0.0434783   4   18   13
640    0.0434783   4   18   14
641    0.0434783   4   18   15
642    0.0434783   4   18   16
643    0.0434783   4   18   17
644    0.0434783   4   18   18
645    0.0434783   4   18   19
646    0.0434783   4   18   20
647    0.0434783   4   19    4
648    0.0434783   4   19    5
649    0.0434783   4   19    6
650    0.0434783   4   19    7
